MCS,Cell_ID,Cell_TarVol,Cell_Vol,Cell_TarSur,Cell_Sur
0,2546,168.0,167,0.0,58.0
0,2547,69.0,69,0.0,36.0
0,2548,309.0,309,0.0,82.0
0,2549,72.0,71,0.0,48.0
0,2550,129.0,129,0.0,52.0
0,2551,147.0,147,0.0,56.0
0,2552,108.0,107,0.0,50.0
0,2553,139.0,138,0.0,58.0
0,2554,110.0,110,0.0,56.0
0,2555,328.0,328,0.0,88.0
0,2556,84.0,83,0.0,40.0
0,2557,256.0,256,0.0,70.0
0,2558,193.0,191,0.0,58.0
0,2559,68.0,68,0.0,38.0
0,2560,156.0,156,0.0,60.0
0,2561,100.0,100,0.0,44.0
0,2562,152.0,150,0.0,52.0
0,2563,91.0,89,0.0,40.0
0,2564,184.0,184,0.0,70.0
0,2565,324.0,324,0.0,84.0
0,2566,187.0,186,0.0,58.0
0,2567,187.0,188,0.0,64.0
0,2568,125.0,124,0.0,54.0
0,2569,78.0,78,0.0,44.0
0,2570,136.0,137,0.0,54.0
0,2571,111.0,111,0.0,46.0
0,2572,94.0,94,0.0,52.0
0,2573,126.0,126,0.0,48.0
0,2574,131.0,131,0.0,50.0
0,2575,100.0,100,0.0,46.0
0,2576,117.0,117,0.0,46.0
0,2577,178.0,180,0.0,62.0
0,2578,138.0,138,0.0,56.0
0,2579,146.0,146,0.0,54.0
0,2580,164.0,165,0.0,58.0
0,2581,87.0,87,0.0,44.0
0,2582,40.0,39,0.0,28.0
0,2583,82.0,82,0.0,40.0
0,2584,107.0,106,0.0,50.0
0,2585,131.0,131,0.0,52.0
0,2586,92.0,92,0.0,46.0
0,2587,105.0,103,0.0,46.0
0,2588,226.0,226,0.0,68.0
0,2589,77.0,78,0.0,38.0
0,2590,107.0,107,0.0,52.0
0,2591,139.0,138,0.0,54.0
0,2592,99.0,100,0.0,50.0
0,2593,150.0,149,0.0,54.0
0,2594,157.0,157,0.0,62.0
0,2595,99.0,99,0.0,42.0
0,2596,122.0,121,0.0,50.0
0,2597,194.0,195,0.0,58.0
0,2598,133.0,135,0.0,58.0
0,2599,74.0,73,0.0,40.0
0,2600,81.0,81,0.0,38.0
0,2601,72.0,72,0.0,42.0
0,2602,109.0,108,0.0,52.0
0,2603,130.0,130,0.0,62.0
0,2604,81.0,81,0.0,40.0
0,2605,1.0,1,0.0,4.0
0,2606,112.0,113,0.0,50.0
0,2607,145.0,144,0.0,54.0
0,2608,122.0,123,0.0,48.0
0,2609,104.0,104,0.0,50.0
0,2610,60.0,59,0.0,36.0
0,2611,124.0,125,0.0,52.0
0,2612,150.0,151,0.0,56.0
0,2613,146.0,146,0.0,54.0
0,2614,61.0,62,0.0,36.0
0,2615,89.0,89,0.0,48.0
0,2616,98.0,99,0.0,52.0
0,2617,140.0,141,0.0,50.0
0,2618,137.0,136,0.0,54.0
0,2619,126.0,127,0.0,52.0
0,2620,121.0,121,0.0,56.0
0,2621,183.0,184,0.0,62.0
0,2622,126.0,126,0.0,48.0
0,2623,60.0,62,0.0,38.0
0,2624,119.0,117,0.0,54.0
0,2625,115.0,116,0.0,50.0
0,2626,87.0,87,0.0,52.0
0,2627,139.0,140,0.0,52.0
0,2628,109.0,111,0.0,48.0
0,2629,143.0,143,0.0,54.0
0,2630,136.0,135,0.0,56.0
0,2631,91.0,91,0.0,42.0
0,2632,137.0,138,0.0,54.0
0,2633,167.0,167,0.0,60.0
0,2634,88.0,88,0.0,50.0
0,2635,138.0,138,0.0,56.0
0,2636,112.0,112,0.0,48.0
0,2637,126.0,125,0.0,56.0
0,2638,124.0,124,0.0,56.0
0,2639,138.0,137,0.0,56.0
0,2640,150.0,149,0.0,56.0
0,2641,62.0,61,0.0,34.0
0,2642,98.0,97,0.0,44.0
0,2643,207.0,207,0.0,72.0
0,2644,148.0,148,0.0,54.0
0,2645,109.0,108,0.0,46.0
0,2646,114.0,113,0.0,48.0
0,2647,144.0,146,0.0,52.0
0,2648,123.0,122,0.0,50.0
0,2649,52.0,53,0.0,32.0
0,2650,226.0,226,0.0,68.0
0,2651,93.0,94,0.0,44.0
0,2652,126.0,125,0.0,54.0
0,2653,103.0,104,0.0,46.0
0,2654,94.0,91,0.0,40.0
0,2655,110.0,110,0.0,46.0
0,2656,115.0,115,0.0,56.0
0,2657,148.0,150,0.0,56.0
0,2658,140.0,141,0.0,54.0
0,2659,86.0,86,0.0,44.0
0,2660,134.0,135,0.0,54.0
0,2661,163.0,161,0.0,60.0
0,2662,71.0,71,0.0,38.0
0,2663,154.0,155,0.0,56.0
0,2664,108.0,108,0.0,46.0
0,2665,95.0,94,0.0,40.0
0,2666,170.0,169,0.0,60.0
0,2667,173.0,174,0.0,74.0
0,2668,47.0,47,0.0,36.0
0,2669,195.0,194,0.0,66.0
0,2670,110.0,110,0.0,50.0
0,2671,101.0,101,0.0,46.0
0,2672,133.0,133,0.0,56.0
0,2673,155.0,156,0.0,60.0
0,2674,83.0,83,0.0,44.0
0,2675,92.0,91,0.0,42.0
0,2676,137.0,137,0.0,56.0
0,2677,88.0,89,0.0,46.0
0,2678,126.0,126,0.0,52.0
0,2679,96.0,95,0.0,46.0
0,2680,153.0,152,0.0,56.0
0,2681,167.0,168,0.0,56.0
0,2682,112.0,111,0.0,48.0
0,2683,115.0,115,0.0,50.0
0,2684,112.0,111,0.0,58.0
0,2685,95.0,95,0.0,42.0
0,2686,139.0,139,0.0,60.0
0,2687,80.0,80,0.0,40.0
0,2688,90.0,90,0.0,42.0
0,2689,169.0,169,0.0,64.0
0,2690,149.0,149,0.0,52.0
0,2691,144.0,143,0.0,50.0
0,2692,138.0,138,0.0,50.0
0,2693,58.0,59,0.0,38.0
0,2694,145.0,146,0.0,60.0
0,2695,88.0,88,0.0,40.0
0,2696,95.0,96,0.0,40.0
0,2697,86.0,87,0.0,42.0
0,2698,46.0,43,0.0,36.0
0,2699,136.0,137,0.0,50.0
0,2700,107.0,106,0.0,52.0
